year,make,model,variant,body_type,no_of_seats,build_date,compliance_date,vin,rego_no,rego_state,rego_expiry,no_of_plates,no_of_cylinders,engine_capacity,fuel_type,transmission,odometer_reading,odometer_unit,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,features_list,final_price,final_bids,date_sold,status,bids,price,sale_price,time_remaining_or_date_sold
2005.0,Honda,Jazz,GLi GD CVT Hatchback,Hatchback,5,Unable to locate,2005-08,JHMGD18305S269341,no plates,VIC,"Sold Unregistered, Without Plates",0.0,4,1.3,Petrol,CVT,230331,km,Black,Black,Yes,No,Yes,No,Yes,VIC,https://www.grays.com/lot/0001-21046788/motor-vehicles-motor-cycles/2005-honda-jazz-gli-gd-cvt-hatchback,"Dents or marks on body consistent with age and kilometres.
Paint fading Around the car
Medium Dent on Rear right side of the car
Medium Scratch on Around the car
Engine noise observed.
Seat Torn Driver seat","Air Conditioning, CD Player, Central Locking, Driver Airbag, Electric Windows, Power Steering, Crash Test Star Rating 4, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 135 (343424)",,,2025-04-08,sold,5.0,$700,$700,
2003.0,Honda,Jazz,VTi GD Manual Hatchback,Hatchback,5,2003-10,2003-12,JHMGD37503S207506,SUB384,VIC,19-07-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4,1.5,Petrol,Manual,194446,km,Silver,Black,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21048220/motor-vehicles-motor-cycles/2003-honda-jazz-vti-gd-manual-hatchback,"Dents or marks on body consistent with age and kilometres.
ABS light ON
Carpet worn in places.","Air Conditioning, CD Player, Central Locking, Driver Airbag, Electric Windows, Power Steering, Crash Test Star Rating 4, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 1096A (345531)",,,2025-05-07,sold,26.0,"$2,000","$2,000",
2003.0,Honda,Jazz,VTi GD Manual Hatchback,Hatchback,5,2003-10,2004-01,JHMGD37503S207925,SRS839,VIC,21-10-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4,1.5,Petrol,Manual,305379,km,Blue,Grey,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21052991/motor-vehicles-motor-cycles/2003-honda-jazz-vti-gd-manual-hatchback,"Rear bumper Cracked bumper.
Medium Scratch on Various parts on panels
Dents or marks on body consistent with age and kilometres.
ABS light ON","Air Conditioning, CD Player, Central Locking, Driver Airbag, Electric Windows, Power Steering, Crash Test Star Rating 4, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 1053 (353258)",,,2025-07-24,sold,8.0,$558,$558,
2004.0,Honda,Jazz,VTi GD Manual Hatchback,Hatchback,5.0,2004-01,2004-03,JHMGD37504S201164,1HRG347,WA,09-11-2025 - Registration will only be transferred to the registered bidder who must hold a valid WA Licence otherwise vehicle will be sold unregistered. Vehicle Sold Without Roadworthy,2.0,4,1.5,Petrol,Manual,310682,km,Black,Multi,Yes,No,No,No,Yes,WA,https://www.grays.com/lot/0001-9064222/motor-vehicles-motor-cycles/2004-honda-jazz-vti-gd-manual-hatchback,"Paint fading Various panels
Medium Scratch on Various panels
Front left side Cracked bumper.
Dents or marks on body consistent with age and kilometres.
Windscreen Chipped or Cracked.
Dents or marks on body consistent with age and kilometres.","Air Conditioning, Bluetooth Capability, Central Locking, Driver Airbag, Electric Windows, Power Steering, Reversing Camera, Crash Test Star Rating 4, Location: 6 Spartan Street, Jandakot, WA, 6164, Key No: 18F",,,,sold,6.0,567.0,567.0,
2004.0,Honda,Jazz,VTi GD Manual Hatchback,Hatchback,5,2004-05,2004-07,JHMGD37504S202102,1GLH357,WA,31-08-2025 - Registration will only be transferred to the registered bidder who must hold a valid WA Licence otherwise vehicle will be sold unregistered. Vehicle Sold Without Roadworthy,2.0,4,1.5,Petrol,Manual,396916,km,Blue,Charcoal,Yes,No,Yes,Partial,Yes,WA,https://www.grays.com/lot/0001-9062767/motor-vehicles-motor-cycles/2004-honda-jazz-vti-gd-manual-hatchback,"Windscreen Chipped or Cracked.
Dents or marks on body consistent with age and kilometres.
Back Seat Stains.
Paint fading Various panels
Medium Dent on Front right fender
Rear bumper Cracked bumper.
Large Scuff on Rear left door
Paint peeling Both rearview mirrors
Front Seat Marks Both seats","Air Conditioning, CD Player, Central Locking, Driver Airbag, Electric Windows, Power Steering, Crash Test Star Rating 4, Location: 6 Spartan Street, Jandakot, WA, 6164, Key No: 44F",,,2025-08-20,sold,9.0,$809,$809,
2005.0,Honda,Jazz,VTi GD Manual Hatchback,Hatchback,5,2005-04,2005-05,JHMGD37505S202937,2BJ5CX,VIC,09-10-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4,1.5,Petrol,Manual,291767,km,Blue,Grey,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21049493/motor-vehicles-motor-cycles/2005-honda-jazz-vti-gd-manual-hatchback,Dents or marks on body consistent with age and kilometres.,"Air Conditioning, CD Player, Central Locking, Driver Airbag, Electric Windows, Power Steering, Crash Test Star Rating 4, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 26 (347587)",,,2025-05-27,sold,8.0,$709,$709,
2005.0,Honda,Jazz,VTi GD CVT Hatchback,Hatchback,5,2005-06,2005-08,JHMGD38505S205014,1HL1EW,VIC,25-08-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4,1.5,Petrol,CVT,220080,km,Blue,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21050886/motor-vehicles-motor-cycles/2005-honda-jazz-vti-gd-cvt-hatchback,"Dents or marks on body consistent with age and kilometres.
Medium Scratch on Various along panel
Medium Scratch on Back left door
Paint fading Top of vehicle
Paint peeling Top of vehicle
Corrosion visible passenger side rear","Air Conditioning, CD Player, Central Locking, Driver Airbag, Electric Windows, Power Steering, Crash Test Star Rating 4, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 787 (349968)",,,2025-06-22,sold,30.0,"$2,109","$2,109",
2002.0,Honda,Jazz,VTi-S GD CVT Hatchback,Hatchback,5,2002-12,2003-02,JHMGD38703S202307,,,"Sold Unregistered, Without Plates",0.0,4,1.5,Petrol,CVT,371578,km,Blue,Grey,Yes,Yes,Yes,Yes,Yes,QLD,https://www.grays.com/lot/0001-50711976/motor-vehicles-motor-cycles/2002-honda-jazz-vti-s-gd-cvt-hatchback,"Door card Worn.
Paint fading Multiple panels
Dents or marks on body consistent with age and kilometres.
Medium Scratch on Lh front bumper
Windscreen Chipped or Cracked.
Carpet worn in places.
Airbag light ON
Paint peeling window trim","Air Conditioning, CD Player, Central Locking, Driver Airbag, Electric Windows, Power Steering, Crash Test Star Rating 4, Location: 131-153 Main Beach Road, Pinkenba, QLD, 4008, Key No: K-968 GV348309",,,2025-06-04,sold,6.0,$509,$509,
2003.0,Honda,Jazz,VTi-S GD Automatic Hatchback,Hatchback,5,2003-07,2003-11,JHMGD38703S206708,No plates,VIC,"Sold Unregistered, Without Plates",0.0,4,1.5,Petrol,Automatic,187478,km,Blue,Black,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21053969/motor-vehicles-motor-cycles/2003-honda-jazz-vti-s-gd-automatic-hatchback,"Paint fading Various parts on panels
Dents or marks on body consistent with age and kilometres.
Medium Dent on Various parts on panels
Both front and rear Cracked bumper.
Corrosion visible Various parts on panels","Air Conditioning, Driver Airbag, Electric Windows, Power Steering, Crash Test Star Rating 4, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 459 (353539)",,,2025-08-10,sold,28.0,"$2,409","$2,409",
2003.0,Honda,Jazz,VTi-S GD CVT Hatchback,Hatchback,5.0,2003-12,2004-05,JHMGD38704S200560,UZQ748,VIC,01-05-2026 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,1.5,Petrol,CVT,336335,km,Blue,Black,Yes,No,Yes,No,Yes,VIC,https://www.grays.com/lot/0001-21051059/motor-vehicles-motor-cycles/2003-honda-jazz-vti-s-gd-cvt-hatchback,Dents or marks on body consistent with age and kilometres.,"Air Conditioning, CD Player, Central Locking, Driver Airbag, Electric Windows, Power Steering, Crash Test Star Rating 4, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 1212 (350202)",,,2025-06-26,sold,9.0,"$1,255","$1,255",
2012.0,Honda,Jazz,Vibe GE Automatic Hatchback,Hatchback,5,2012-02,2012-04,JHMGE6850CS206171,No plates,VIC,"Sold Unregistered, Without Plates",0.0,4,1.3,Petrol,Automatic,123051,km,Black,Black,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21046312/motor-vehicles-motor-cycles/2012-honda-jazz-vibe-ge-automatic-hatchback,Dents or marks on body consistent with age and kilometres.,"Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, MP3 Capability, Park Distance Control Rear, Power Steering, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 1078 (340989)",,,2025-03-31,sold,74.0,"$5,209","$5,209",
1999.0,Honda,Odyssey,Automatic People Mover,People Mover,2.0,1999-02,1999-03,JHMRA3870XC203643,No plates,VIC,"Sold Unregistered, Without Plates",0.0,4,2.3,Petrol,Automatic,249413,km,Gold,Grey,Yes,Yes,No,Unknown,Yes,VIC,https://www.grays.com/lot/0001-21057718/motor-vehicles-motor-cycles/1999-honda-odyssey-automatic-people-mover,"Flat Battery. Jump start or towing required
Engine noise observed.
Dents or marks on body consistent with age and kilometres.
Paint peeling Around
Rear bumper Cracked bumper.
Body/panel damage Rear
Damaged Rear lights","Air Conditioning, CD Player, Central Locking, Cruise Control, Driver Airbag, Electric Windows, Power Steering, Roof Rail, Third Row Seat, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 12",,,,sold,2.0,109.0,109.0,
2004.0,Honda,Odyssey,Automatic 7 Seats People Mover,People Mover,7.0,2004-04,2004-06,JHMRB18404C200023,WRI425,VIC,15-10-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4,2.4,Petrol,Automatic,324928,km,Silver,Grey,Yes,No,Yes,Partial,Yes,VIC,https://www.grays.com/lot/0001-21058493/motor-vehicles-motor-cycles/2004-honda-odyssey-automatic-7-seats-people-mover,"Front Seat Marks Drivers
Dents or marks on body consistent with age and kilometres.
Medium Dent on Around vehicle","Air Conditioning, Driver Airbag, Electric Windows, Power Steering, Roof Rail, Third Row Seat, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 484 (361844)",,,,sold,13.0,1009.0,1009.0,
2004.0,Honda,Odyssey,Luxury Automatic 7 Seats People Mover,People Mover,7,2004-07,2004-09,JHMRB18504C203101,No plates,VIC,"Sold Unregistered, Without Plates",0.0,4,2.4,Petrol,Automatic,230424,km,Grey,Tan Leather,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21050086/motor-vehicles-motor-cycles/2004-honda-odyssey-luxury-automatic-7-seats-people-mover,"Dents or marks on body consistent with age and kilometres.
Medium Scratch/Scuff on Various along panel
Paint peeling Various along panel","Air Conditioning, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Heated Front Seats, Leather Trim, Power Steering, Sunroof, Third Row Seat, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 722 (348722)",,,2025-06-05,sold,25.0,"$1,800","$1,800",
2004.0,Honda,Odyssey,Luxury Automatic 7 Seats People Mover,People Mover,7,2004-07,2004-09,JHMRB18504C203106,TBR835,VIC,23-09-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4,2.4,Petrol,Automatic,339390,km,Black,Cream Leather,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21055167/motor-vehicles-motor-cycles/2004-honda-odyssey-luxury-automatic-7-seats-people-mover,"Dents or marks on body consistent with age and kilometres.
Medium Dent on Small to medium in few spots
Medium Scratch on Small to medium all over the body
Paint fading Door frame
Engine Oil Leak
Engine light ON","Air Conditioning, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Leather Trim, Power Steering, Sunroof, Third Row Seat, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 322 (355416)",,,2025-08-28,sold,11.0,$709,$709,
2004.0,Honda,Odyssey,Luxury Automatic 7 Seats People Mover,People Mover,7,Unable to locate,2004-09,JHMRB18504C203109,,,"Sold Unregistered, Without Plates",,4,2.4,Petrol,Automatic,186009,km,Black,Brown Leather,Yes,Yes,Yes,No,Yes,SA,https://www.grays.com/lot/0001-60047836/motor-vehicles-motor-cycles/2004-honda-odyssey-luxury-automatic-7-seats-people-mover,Windscreen Chipped or Cracked.,"Air Conditioning, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Rear DVD player, Electric Windows, Heated Front Seats, Leather Trim, Power Steering, Third Row Seat, Location: 3 Maxwell Road, Pooraka, SA, 5095, Key No: 8",,,2025-05-21,sold,35.0,"$3,400","$3,400",
2005.0,Honda,Odyssey,Luxury Automatic 7 Seats People Mover,People Mover,7,2005-10,2005-12,JHMRB18506C200296,TXO991,VIC,22-06-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4,2.4,Petrol,Automatic,283024,km,Grey,Cream Leather,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21046018/motor-vehicles-motor-cycles/2005-honda-odyssey-luxury-automatic-7-seats-people-mover,"Dents or marks on body consistent with age and kilometres.
Engine light ON","Air Conditioning, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Heated Front Seats, Leather Trim, Power Steering, Third Row Seat, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 33c (341563)",,,2025-03-31,sold,11.0,$809,$809,
2006.0,Honda,Odyssey,Luxury Automatic 7 Seats People Mover,People Mover,7,2006-01,2006-03,JHMRB18506C201576,AXZ51R,NSW,"Sold Unregistered, Without Plates",,4,2.4,Petrol,Automatic,232029,km,Grey,Cream,Yes,Yes,Yes,No,Yes,NSW,https://www.grays.com/lot/0001-10349246/motor-vehicles-motor-cycles/2006-honda-odyssey-luxury-automatic-7-seats-people-mover,Please refer to the photos or arrange inspection to view the condition of this vehicle.,"Air Conditioning, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Heated Front Seats, Leather Trim, Park distance control rear, Power Steering, Roof rails, Sunroof, Third Row Seat, Location: Rear of 5 Holbeche Road, Arndell Park, NSW, 2148, Key No: 126",,,2025-06-24,sold,27.0,"$1,809","$1,809",
2006.0,Honda,Odyssey,Luxury Automatic 7 Seats People Mover,People Mover,7,2006-04,2006-06,JHMRB18507C200042,AZG03S,NSW,"Sold Unregistered, Without Plates",,4,2.4,Petrol,Automatic,209628,km,Silver,Black,Yes,No,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10350032/motor-vehicles-motor-cycles/2006-honda-odyssey-luxury-automatic-7-seats-people-mover,Please refer to the photos or arrange inspection to view the condition of this vehicle.,"Air Conditioning, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Heated Front Seats, Leather Trim, MP3 Capability, Park distance control rear, Power Steering, Sunroof, Third Row Seat, Crash Test Star Rating 4, Location: Rear of 5 Holbeche Road, Arndell Park, NSW, 2148, Key No: 207",,,2025-08-12,sold,20.0,"$1,209","$1,209",
2006.0,Honda,Odyssey,Luxury Automatic 7 Seats People Mover,People Mover,7,2006-04,2006-06,JHMRB18507C200109,1WI3CZ,VIC,03-08-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4,2.4,Petrol,Automatic,328707,km,Purple,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21044827/motor-vehicles-motor-cycles/2006-honda-odyssey-luxury-automatic-7-seats-people-mover,"Dents or marks on body consistent with age and kilometres.
Medium Scuff on Drivers side doors
Medium Scuff on Front Bumper","Air Conditioning, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Heated Front Seats, Leather Trim, MP3 Capability, Power Steering, Sunroof, Third Row Seat, Crash Test Star Rating 4, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 313 (340386)",,,2025-03-09,sold,16.0,"$1,509","$1,509",
2006.0,Honda,Odyssey,Luxury Automatic 7 Seats People Mover,People Mover,7,2006-05,2006-07,JHMRB18507C200243,EHD17E,NSW,"Sold Unregistered, Without Plates",,4,2.4,Petrol,Automatic,245014,km,Grey,Grey,Yes,Yes,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10349387/motor-vehicles-motor-cycles/2006-honda-odyssey-luxury-automatic-7-seats-people-mover,Please refer to the photos or arrange inspection to view the condition of this vehicle.,"Air Conditioning, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Heated Front Seats, Leather Trim, MP3 Capability, Park Distance Control Rear, Power Steering, Sunroof, Third Row Seat, Crash Test Star Rating 4, Location: Rear of 5 Holbeche Road, Arndell Park, NSW, 2148, Key No: 031",,,2025-06-30,sold,13.0,"$1,209","$1,209",
2006.0,Honda,Odyssey,Luxury Automatic 7 Seats People Mover,People Mover,7,2006-06,2006-10,JHMRB18507C201809,2CR9FU,VIC,06-10-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4,2.4,Petrol,Automatic,238297,km,Black,Beige Leather,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21055239/motor-vehicles-motor-cycles/2006-honda-odyssey-luxury-automatic-7-seats-people-mover,"Front Cracked bumper.
Medium Scratch on Around exterior
Dents or marks on body consistent with age and kilometres.
Front Seat worn Both front seats
Back Seat worn.","Air Conditioning, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Heated Front Seats, Leather Trim, MP3 Capability, Power Steering, Sunroof, Third Row Seat, Crash Test Star Rating 4, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 334 (356787)",,,2025-08-31,sold,17.0,"$1,910","$1,910",
2007.0,Honda,Odyssey,Luxury Automatic 7 Seats People Mover,People Mover,7,2007-08,2008-01,JHMRB18508C201551,2CG9ZO,VIC,22-06-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4,2.4,Petrol,Automatic,189975,km,Purple,Black Leather,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21048967/motor-vehicles-motor-cycles/2007-honda-odyssey-luxury-automatic-7-seats-people-mover,"Dents or marks on body consistent with age and kilometres.
Front bumper Cracked bumper.
Engine noise observed.","Air Conditioning, Bluetooth capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Heated Front Seats, Leather Trim, MP3 Capability, Power Steering, Reversing Camera, Sunroof, Third Row Seat, Crash Test Star Rating 4, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 631 (346768)",,,2025-05-20,sold,15.0,"$1,409","$1,409",
2007.0,Honda,Odyssey,Luxury Automatic 7 Seats People Mover,People Mover,7,2007-12,2008-04,JHMRB18508C203322,,,"Sold Unregistered, Without Plates",0.0,4,2.4,Petrol,Automatic,292114,km,Grey,Black Leather,Yes,No,Yes,Yes,Yes,QLD,https://www.grays.com/lot/0001-50515627/motor-vehicles-motor-cycles/2007-honda-odyssey-luxury-automatic-7-seats-people-mover,"Seat Torn All seats
Dents or marks on body consistent with age and kilometres.
Paint fading Over vehicle
Flat Battery. Jump start or towing required","Air Conditioning, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Leather Trim, MP3 Capability, Power Steering, Third Row Seat, Crash Test Star Rating 4, Location: 131-153 Main Beach Road, Pinkenba, QLD, 4008, Key No: K-263 GV342901",,,2025-06-11,sold,7.0,$609,$609,
2008.0,Honda,Odyssey,Luxury Automatic 7 Seats People Mover,People Mover,7.0,2008-02,2008-03,JHMRB18508C203663,CTO18C,NSW,"Sold Unregistered, Without Plates",0.0,4.0,2.4,Petrol,Automatic,206195,km,Black,Black Leather,Yes,Yes,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10912939/motor-vehicles-motor-cycles/2008-honda-odyssey-luxury-automatic-7-seats-people-mover,"Dents or marks on body consistent with age and kilometres.
Medium Scuff on Front Bumper
Seat Torn On Drivers, Passengers and rear","CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Leather Trim, MP3 Capability, Power Steering, Sunroof, Third Row Seat, Crash Test Star Rating 4, Location: 46 Clyde Street, Hamilton North, NSW, 2292",,,,sold,3.0,3209.0,3209.0,
2008.0,Honda,Odyssey,Luxury Automatic 7 Seats People Mover,People Mover,7,2008-03,2008-04,JHMRB18508C203959,WNE098,VIC,06-08-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4,2.4,Petrol,Automatic,315219,km,Grey,Black Leather,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21054328/motor-vehicles-motor-cycles/2008-honda-odyssey-luxury-automatic-7-seats-people-mover,"Drivers Seat Torn,
Large Scratch on LHR door
Dents or marks on body consistent with age and kilometres.
Comment: Drivers sun visor loose.
Comment: Drivers sun visor loose.","Air Conditioning, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Heated Front Seats, Leather Trim, MP3 Capability, Park Distance Control Rear, Power Steering, Sunroof, Third Row Seat, Crash Test Star Rating 4, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 563 (355187)",,,2025-08-13,sold,27.0,"$1,809","$1,809",
2009.0,Honda,Odyssey,Automatic 7 Seats People Mover,People Mover,7,2009-02,2009-04,JHMRB38309C200658,BB78UW,NSW,"Sold Unregistered, Without Plates",,4,2.4,Petrol,Automatic,261499,km,Silver,Black,Yes,No,No,No,Yes,NSW,https://www.grays.com/lot/0001-10348899/motor-vehicles-motor-cycles/2009-honda-odyssey-automatic-7-seats-people-mover,"Dents or marks on body consistent with age and kilometres.
Body/panel damage Passenger side doors and sill panel
Paint cracked Rear bumper bar","Air Conditioning, Bluetooth capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Reversing Camera, Third Row Seat, Location: Rear of 5 Holbeche Road, Arndell Park, NSW, 2148, Key No: 215",,,2025-05-27,sold,18.0,"$1,009","$1,009",
2009.0,Honda,Odyssey,Automatic 7 Seats People Mover,People Mover,7.0,2009-07,2009-08,JHMRB38309C201747,XKJ799,VIC,17-12-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,2.4,Petrol,Automatic,250304,km,Black,Black,Yes,Yes,No,Partial,Yes,VIC,https://www.grays.com/lot/0001-21055873/motor-vehicles-motor-cycles/2009-honda-odyssey-automatic-7-seats-people-mover,"Hail damage visible.
Dents or marks on body consistent with age and kilometres.
Paint fading Around exterior
Corrosion visible Boot
Comment: Spare key damaged
Comment: Spare key damaged","Air Conditioning, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Third Row Seat, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 1209",,,,sold,42.0,3109.0,3109.0,
2010.0,Honda,Odyssey,Luxury Auto 7 Seats People Mover - RWC Issued 2/5/25,People Mover,7,2010-10,Unable to locate,JHMRB3850AC201819,2CD1HN,VIC,01-08-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4,2.4,Petrol,Automatic,160301,km,Silver,Black Leather,Yes,Yes,Yes,No,Yes,VIC,https://www.grays.com/lot/0001-21049085/motor-vehicles-motor-cycles/2010-honda-odyssey-luxury-auto-7-seats-people-mover-rwc-issued-2-5-25,Dents or marks on body consistent with age and kilometres.,"Air Conditioning, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Heated Front Seats, Leather Trim, MP3 Capability, Power Steering, Third Row Seat, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 524e (346972)",,,2025-05-21,sold,130.0,"$7,009","$7,009",
2014.0,Honda,Odyssey,VTi-L CVT 7 Seats People Mover,People Mover,7,2014-08,2014-09,JHMRC1850EC203382,CP76DQ,NSW,"Sold Unregistered, Without Plates",0.0,4,2.4,Petrol,CVT,125596,km,White,Black Leather,Yes,Yes,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10910506/motor-vehicles-motor-cycles/2014-honda-odyssey-vti-l-cvt-7-seats-people-mover,Please refer to the photos or arrange inspection to view the condition of this vehicle.,"Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Leather Trim, MP3 Capability, Power Steering, Reversing Camera, Sunroof, Third Row Seat, Crash Test Star Rating 5, Location: 46 Clyde Street, Hamilton North, NSW, 2292",,,2025-03-19,sold,2.0,"$15,009","$15,009",
2014.0,Honda,Odyssey,VTi-L CVT 7 Seats People Mover,People Mover,7,2014-09,2014-10,JHMRC1850EC203765,1UW9DZ,VIC,11-02-2026 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4,2.4,Petrol,CVT,183362,km,Silver,Black Leather,Yes,No,No,Yes,Yes,VIC,https://www.grays.com/lot/0001-21055291/motor-vehicles-motor-cycles/2014-honda-odyssey-vti-l-cvt-7-seats-people-mover,"Carpet worn in places.
Front Seat worn Both
Controls inoperable Rear window switches intermittent on main panel
Dents or marks on body consistent with age and kilometres.","Air Conditioning, CD Player, Central Locking, Driver Airbag, Electric Windows, Heated Front Seats, Hill Holder System, Leather Trim, MP3 Capability, Parking Assist System, Power Steering, Reversing Camera, Sunroof, Third Row Seat, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 244 (356674)",,,2025-09-01,sold,64.0,"$9,700","$9,700",
2014.0,Honda,Odyssey,VTi-L CVT 7 Seats People Mover,People Mover,7,2014-11,2014-12,JHMRC1850EC204610,1HRF616,WA,18-06-2025 - Registration will only be transferred to the registered bidder who must hold a valid WA Licence otherwise vehicle will be sold unregistered. Vehicle Sold Without Roadworthy,2.0,4,2.4,Petrol,CVT,214609,km,Dark Grey,Black Leather,Yes,Yes,Yes,Yes,Yes,WA,https://www.grays.com/lot/0001-9060257/motor-vehicles-motor-cycles/2014-honda-odyssey-vti-l-cvt-7-seats-people-mover,"Medium Scuff on Front bumper
Medium Scratch on Both passenger doors
Medium Scuff on Back bumper","Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Heated Front Seats, Hill Holder System, Leather Trim, MP3 Capability, Parking Assist System, Power Steering, Reversing Camera, Third Row Seat, Crash Test Star Rating 5, Location: 6 Spartan Street, Jandakot, WA, 6164, Key No: 6d",,,2025-06-09,sold,107.0,"$12,200","$12,200",
