year,make,model,variant,body_type,no_of_seats,build_date,compliance_date,vin,rego_no,rego_state,rego_expiry,no_of_plates,no_of_cylinders,engine_capacity,fuel_type,transmission,odometer_reading,odometer_unit,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,features_list,bids,price,time_remaining_or_date_sold,referral_reason,status
2005.0,BMW,3,20i E90 Automatic Sedan,Sedan,5.0,2005-04,2005-05,WBAVA76030NK10580,WZJ386,VIC,01-07-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,2.0,Petrol,Automatic,189490,km,Grey,Cream Leather,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21051254/motor-vehicles-motor-cycles/2005-bmw-3-20i-e90-automatic-sedan,"Dents or marks on body consistent with age and kilometres.
Front Seat worn Drivers seat","Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Leather Trim, Park Distance Control Rear, Power Steering, Sunroof, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 1055 (349532)",0.0,,,"Dents or marks on body consistent with age and kilometres.
Front Seat worn Drivers seat",referred
2005.0,Land,Rover,Range Rover Sport Turbo Diesel Automatic Wagon,Wagon,5.0,Unable to locate,2005-02,SALLSAA136A919760,WPA583,VIC,31-01-2026 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,6.0,2.7,Diesel,Automatic,314228,km,Grey,Black Leather,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21051255/motor-vehicles-motor-cycles/2005-land-rover-range-rover-sport-turbo-diesel-automatic-wagon,"Dents or marks on body consistent with age and kilometres.
Dents or marks on body consistent with age and kilometres.
Dents or marks on body consistent with age and kilometres.
Dents or marks on body consistent with age and kilometres.","Air Conditioning, Auto Control, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Leather Trim, Power Steering, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 211",0.0,,,"Dents or marks on body consistent with age and kilometres.
Dents or marks on body consistent with age and kilometres.
Dents or marks on body consistent with age and kilometres.
Dents or marks on body consistent with age and kilometres.",referred
2012.0,Holden,Barina,TM Automatic Hatchback,Hatchback,5.0,2012-03,2012-04,KL3TA48E9CB106287,YZJ365,VIC,24-05-2026 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,1.6,Petrol,Automatic,141421,km,Silver,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21051257/motor-vehicles-motor-cycles/2012-holden-barina-tm-automatic-hatchback,"Dents or marks on body consistent with age and kilometres.
Medium Scuff on Boot
Front Seat Marks Both seats","Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Cruise Control, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 220 (350379)",0.0,,,"Dents or marks on body consistent with age and kilometres.
Medium Scuff on Boot
Front Seat Marks Both seats",referred
2010.0,Toyota,Hilux,4x2 Workmate TGN16R Manual Dual Cab,Dual Cab,5.0,2010-02,2010-03,MR0EX12G602035570,XQU762,VIC,14-07-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,2.7,Petrol,Manual,330714,km,White,Grey,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21051258/motor-vehicles-motor-cycles/2010-toyota-hilux-4x2-workmate-tgn16r-manual-dual-cab,"Seat Torn Drivers
Dents or marks on body consistent with age and kilometres.
Medium Dent on rear tail gate and back panel","Bluetooth Capability, Bull Bar, CD Player, Driver Airbag, MP3 Capability, Nudge Bar, Power Steering, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 715C (350587)",0.0,,,"Seat Torn Drivers
Dents or marks on body consistent with age and kilometres.
Medium Dent on rear tail gate and back panel",referred
2015.0,Volkswagen,Polo,66TSI TRENDLINE 6R Automatic Hatchback,Hatchback,5.0,2015-10,2015-11,WVWZZZ6RZGU027065,No plates,VIC,"Sold Unregistered, Without Plates",0.0,4.0,1.2,Petrol,Automatic,97051,km,White,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21051259/motor-vehicles-motor-cycles/2015-volkswagen-polo-66tsi-trendline-6r-automatic-hatchback,Dents or marks on body consistent with age and kilometres.,"Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Cruise Control, Driver Airbag, Electric Windows, Hill Holder System, MP3 Capability, Power Steering, Reversing Camera, Crash Test Star Rating 5, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 1232 (350545)",0.0,,,Dents or marks on body consistent with age and kilometres.,referred
2005.0,Mazda,3,SP23 BK Automatic Hatchback,Hatchback,5.0,2005-04,2005-05,JM0BK103100152163,TPA036,VIC,23-06-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,2.3,Petrol,Automatic,156829,km,Silver,Black Leather,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21051272/motor-vehicles-motor-cycles/2005-mazda-3-sp23-bk-automatic-hatchback,"Engine light ON
Dents or marks on body consistent with age and kilometres.
Seat Torn driver","Air Conditioning, CD Player, Central Locking, Climate Control, Driver Airbag, Electric Windows, Power Steering, Crash Test Star Rating 4, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 490 (349663)",0.0,,,"Engine light ON
Dents or marks on body consistent with age and kilometres.
Seat Torn driver",referred
2005.0,Toyota,Corolla,Ascent Seca ZZE123R Automatic Hatchback,Hatchback,5.0,2005-10,2005-11,JTDKR23E500233275,No plates,NSW,"Sold Unregistered, Without Plates",0.0,4.0,1.8,Petrol,Automatic,231454,km,Silver,Black,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21051273/motor-vehicles-motor-cycles/2005-toyota-corolla-ascent-seca-zze123r-automatic-hatchback,"Dents or marks on body consistent with age and kilometres.
Paint peeling Bonnet
Medium Scuff on rear passenger side and dent near tail light","Air Conditioning, CD Player, Central Locking, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Crash Test Star Rating 4, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 962 (350489)",0.0,,,"Dents or marks on body consistent with age and kilometres.
Paint peeling Bonnet
Medium Scuff on rear passenger side and dent near tail light",referred
2006.0,NISSAN,ELGRAND,Import Automatic 7 Seats Van,,7.0,2006-01,2016-04,6U900000E51151486,2CR3XT,VIC,19/07/2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,6.0,3.5,Petrol,Automatic,181968,km,White,Black,Yes,No,No,Yes,Yes,VIC,https://www.grays.com/lot/0001-21051275/motor-vehicles-motor-cycles/2006-nissan-elgrand-import-automatic-7-seats-van,"Windscreen Chipped or Cracked.
Dents or marks on body consistent with age and kilometres.
Seat Torn drivers","Air Conditioning, CD Player, Climate Control, Driver Airbag, Electric Windows, Power Steering, Reversing Camera, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 532",0.0,,,"Windscreen Chipped or Cracked.
Dents or marks on body consistent with age and kilometres.
Seat Torn drivers",referred
2003.0,Toyota,Corolla,Ascent Seca ZZE123R Manual Hatchback,Hatchback,5.0,2003-09,2003-10,AHT54ZEC206508511,SPF146,VIC,11-09-2025 - Registration will only be transferred to the registered bidder who must hold a valid VIC Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,1.8,Petrol,Manual,296804,km,Silver,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21051276/motor-vehicles-motor-cycles/2003-toyota-corolla-ascent-seca-zze123r-manual-hatchback,"Dents or marks on body consistent with age and kilometres.
Medium Scratch on rear bumper","Air Conditioning, CD Player, Central Locking, Driver Airbag, Power Steering, Crash Test Star Rating 4, Location: 140-152 National Drive, Dandenong South, VIC, 3175, Key No: 1239 (350565)",0.0,,,"Dents or marks on body consistent with age and kilometres.
Medium Scratch on rear bumper",referred
2017.0,Toyota,Hiace,Commuter KDH223R Auto 12 Seat Bus Pinkslip Issued 17/6/25,Bus,12.0,2017-05,2017-06,JTFST22P700032893,CM32HH,NSW,13-06-2026. Registration will only be transferred to the registered bidder who must hold a valid NSW Drivers Licence otherwise vehicle will be sold unregistered.,2.0,4.0,3,Diesel,Automatic,116868,km,White,Grey,Yes,Yes,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10349309/motor-vehicles-motor-cycles/2017-toyota-hiace-commuter-kdh223r-auto-12-seat-bus-pinkslip-issued-17-6-25,"Please refer to the photos or arrange inspection to view the condition of this vehicle.
Damage to roof.
Dent on Drivers side rear wheel.","Air Conditioning, Bluetooth Capability, Central Locking, Cruise Control, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Reversing Camera, Satellite Navigation System, Third Row Seat, Location: Rear of 5 Holbeche Road, Arndell Park, NSW, 2148, Key No: 315",0.0,,,"Please refer to the photos or arrange inspection to view the condition of this vehicle.
Damage to roof.
Dent on Drivers side rear wheel.",referred
2015.0,Toyota,FORTUNER,GXL GUN156R Turbo Diesel Automatic 7 Seats Wagon,Wagon,7.0,2015-11,2015-12,MR0KA3FS000200944,DLM98A,NSW,"Sold Unregistered, Without Plates",,4.0,2.8,Diesel,Automatic,195942,km,Blue,Grey,Yes,Yes,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10349323/motor-vehicles-motor-cycles/2015-toyota-fortuner-gxl-gun156r-turbo-diesel-automatic-7-seats-wagon,Please refer to the photos or arrange inspection to view the condition of this vehicle.,"Air Conditioning, Auto Control, Bluetooth Capability, CD Player, Central Locking, Cruise Control, Driver Airbag, Electric Windows, Hill Holder System, MP3 Capability, Nudge bar, Park Distance Control Rear, Power Steering, Reversing Camera, Roof rail/roof rack, Third Row Seat, Crash Test Star Rating 5, Location: Rear of 5 Holbeche Road, Arndell Park, NSW, 2148, Key No: 483",0.0,,,Please refer to the photos or arrange inspection to view the condition of this vehicle.,referred
2007.0,Mercedes,Benz,C280 Elegance W204 Automatic Sedan,Sedan,5.0,2007-07,2007-09,WDD2040542A041106,EUB46Y,NSW,"Sold Unregistered, Without Plates",,6.0,3,Petrol,Automatic,296929,km,Black,Tan,Yes,Yes,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10349324/motor-vehicles-motor-cycles/2007-mercedes-benz-c280-elegance-w204-automatic-sedan,Please refer to the photos or arrange inspection to view the condition of this vehicle.,"Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Hill Holder System, Leather Trim, MP3 Capability, Park Distance Control Front, Park Distance Control Rear, Power Steering, Satellite navigation system, Sunroof, Crash Test Star Rating 5, Location: Rear of 5 Holbeche Road, Arndell Park, NSW, 2148, Key No: 467",0.0,,,Please refer to the photos or arrange inspection to view the condition of this vehicle.,referred
2009.0,Subaru,Outback,2.0D Premium B5A Turbo Diesel Manual Wagon,Wagon,5.0,2009-10,2009-12,JF2BRDKZ4AG006190,DN79SD,NSW,"Sold Unregistered, Without Plates",0.0,4.0,2,Diesel,Manual,280144,km,Silver,Black Leather,Yes,No,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10911579/motor-vehicles-motor-cycles/2009-subaru-outback-2-0d-premium-b5a-turbo-diesel-manual-wagon,"Dents or marks on body consistent with age and kilometres.
Carpet worn in places.
Seat Torn Drivers","CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Leather Trim, MP3 Capability, Power Steering, Sunroof, Crash Test Star Rating 5, Location: 46 Clyde Street, Hamilton North, NSW, 2292",1.0,,,"Dents or marks on body consistent with age and kilometres.
Carpet worn in places.
Seat Torn Drivers",referred
2018.0,Nissan,Pathfinder,ST-L R52 CVT 7 Seats Wagon,Wagon,7.0,2018-02,2018-06,5N1DR2MN3JC641177,DYC57U,NSW,"Sold Unregistered, Without Plates",0.0,6.0,3.5,Petrol,CVT,179930,km,Grey,Black Leather,Yes,Yes,No,No,Yes,NSW,https://www.grays.com/lot/0001-10911580/motor-vehicles-motor-cycles/2018-nissan-pathfinder-st-l-r52-cvt-7-seats-wagon,Dents or marks on body consistent with age and kilometres.,"Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Leather Trim, MP3 Capability, Power Steering, Reversing Camera, Satellite navigation system, Sunroof, Third Row Seat, Crash Test Star Rating 5, Location: 46 Clyde Street, Hamilton North, NSW, 2292",0.0,,,Dents or marks on body consistent with age and kilometres.,referred
2021.0,Nissan,Navara,4X4 SL Series 4 Turbo Diesel Manual Dual Cab,Dual Cab,5.0,2021-07,2021-07,MNTCBND23A0008354,EQZ38Q,NSW,"Sold Unregistered, Without Plates",0.0,4.0,2.3,Diesel,Manual,141654,km,White,Black,Yes,No,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10911581/motor-vehicles-motor-cycles/2021-nissan-navara-4x4-sl-series-4-turbo-diesel-manual-dual-cab,Please refer to the photos or arrange inspection to view the condition of this vehicle.,"Air Conditioning, Bluetooth Capability, Central Locking, Cruise Control, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Crash Test Star Rating 5, Location: 46 Clyde Street, Hamilton North, NSW, 2292",0.0,,,Please refer to the photos or arrange inspection to view the condition of this vehicle.,referred
2011.0,Hyundai,i45,Active YF Automatic Sedan,Sedan,5.0,2011-05,2011-11,KMHEC41BMCA321349,CEZ43A,NSW,"Sold Unregistered, Without Plates",0.0,4.0,2,Petrol,Automatic,91596,km,Silver,Black,Yes,Yes,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10911582/motor-vehicles-motor-cycles/2011-hyundai-i45-active-yf-automatic-sedan,Front Seat worn Drivers,"Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Cruise Control, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Crash Test Star Rating 5, Location: 46 Clyde Street, Hamilton North, NSW, 2292",0.0,,,Front Seat worn Drivers,referred
2013.0,Hyundai,iMAX,TQ Turbo Diesel Automatic 8 Seats People Mover,People Mover,8.0,2013-10,2014-01,KMHWH81KMEU598671,CXI88R,NSW,"Sold Unregistered, Without Plates",0.0,4.0,2.5,Diesel,Automatic,237085,km,White,Grey,Yes,Yes,No,Yes,Yes,NSW,https://www.grays.com/lot/0001-10911584/motor-vehicles-motor-cycles/2013-hyundai-imax-tq-turbo-diesel-automatic-8-seats-people-mover,"Engine noise observed.
Suspension requires attention
Damaged Right Taillight
Door Mirror Broken Drivers side
Dents or marks on body consistent with age and kilometres.","Air Conditioning, CD Player, Driver Airbag, MP3 Capability, Power Steering, Third Row Seat, Crash Test Star Rating 4, Location: 46 Clyde Street, Hamilton North, NSW, 2292",5.0,,,"Engine noise observed.
Suspension requires attention
Damaged Right Taillight
Door Mirror Broken Drivers side
Dents or marks on body consistent with age and kilometres.",referred
2013.0,Peugeot,308,LIMITED EDITION Automatic Hatchback,Hatchback,5.0,2013-07,2014-02,VF34C5FVADS146559,CQB29Q,NSW,"Sold Unregistered, Without Plates",0.0,4.0,1.6,Petrol,Automatic,161432,km,White,Black Leather,Yes,Yes,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10911585/motor-vehicles-motor-cycles/2013-peugeot-308-limited-edition-automatic-hatchback,"Paint peeling On Bonnet
Dents or marks on body consistent with age and kilometres.","Bluetooth Capability, CD Player, Climate Control, Driver Airbag, Leather Trim, MP3 Capability, Power Steering, Crash Test Star Rating 5, Location: 46 Clyde Street, Hamilton North, NSW, 2292",0.0,,,"Paint peeling On Bonnet
Dents or marks on body consistent with age and kilometres.",referred
2015.0,Citroen,DS4,CROSSBACK Turbo Diesel Automatic Hatchback,Hatchback,5.0,2015-12,2016-03,VF7NXAHWTFY575175,DDG01Z,NSW,"Sold Unregistered, Without Plates",0.0,4.0,2,Diesel,Automatic,97230,km,Silver,Black Leather,Yes,Yes,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10911586/motor-vehicles-motor-cycles/2015-citroen-ds4-crossback-turbo-diesel-automatic-hatchback,"Flat Battery. Jump start or towing required
Engine light ON
Traction control light ON
ABS light ON","Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Leather Trim, MP3 Capability, Power Steering, Reversing Camera, Location: 46 Clyde Street, Hamilton North, NSW, 2292",17.0,,,"Flat Battery. Jump start or towing required
Engine light ON
Traction control light ON
ABS light ON",referred
2012.0,Volvo,V40,D4 LUXURY Turbo Diesel Automatic Wagon,Wagon,5.0,2012-11,2013-02,YV1MV5550D2025121,CMN76L,NSW,"Sold Unregistered, Without Plates",0.0,5.0,2,Diesel,Automatic,143438,km,Black,Black Leather,Yes,No,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10911587/motor-vehicles-motor-cycles/2012-volvo-v40-d4-luxury-turbo-diesel-automatic-wagon,"Paint fading On bonnet,","Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Cruise Control, Driver Airbag, Electric Windows, Leather Trim, MP3 Capability, Power Steering, Reversing Camera, Location: 46 Clyde Street, Hamilton North, NSW, 2292",22.0,,,"Paint fading On bonnet,",referred
2008.0,Mercedes,Benz,C200 Kompressor Classic W204 Automatic Sedan,Sedan,5.0,2008-08,Unable to locate,WDD2040412A215224,No plates,NSW,"Sold Unregistered, Without Plates",0.0,4.0,1.8,Petrol,Automatic,158731,km,Silver,Cream Leather,Yes,Yes,No,No,Yes,NSW,https://www.grays.com/lot/0001-10911588/motor-vehicles-motor-cycles/2008-mercedes-benz-c200-kompressor-classic-w204-automatic-sedan,"Flat Battery. Jump start or towing required
Engine light ON","Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Sunroof, Crash Test Star Rating 5, Location: 46 Clyde Street, Hamilton North, NSW, 2292",14.0,,,"Flat Battery. Jump start or towing required
Engine light ON",referred
2020.0,Ford,Ranger,XLT 4X2 Hi-Rider PX III Turbo Diesel Automatic Dual Cab,Dual Cab,5.0,2020-06,2020-07,MPBUMFF50LX286188,EIY35K,NSW,"Sold Unregistered, Without Plates",0.0,5.0,3.2,Diesel,Automatic,231283,km,White,Black,Yes,Yes,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10911589/motor-vehicles-motor-cycles/2020-ford-ranger-xlt-4x2-hi-rider-px-iii-turbo-diesel-automatic-dual-cab,Please refer to the photos or arrange inspection to view the condition of this vehicle.,"Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Reversing Camera, Satellite navigation system, Crash Test Star Rating 5, Location: 46 Clyde Street, Hamilton North, NSW, 2292",0.0,,,Please refer to the photos or arrange inspection to view the condition of this vehicle.,referred
2006.0,Mazda,6,Limited GG Automatic Sedan,Sedan,5.0,2006-07,2006-07,JM0GG103200527135,BAV20Z,NSW,"Sold Unregistered, Without Plates",0.0,4.0,2.3,Petrol,Automatic,186574,km,Blue,Black,Yes,No,No,No,Yes,NSW,https://www.grays.com/lot/0001-10911590/motor-vehicles-motor-cycles/2006-mazda-6-limited-gg-automatic-sedan,"Dents or marks on body consistent with age and kilometres.
Paint fading Bonnet
Dents or marks on body consistent with age and kilometres.","Air Conditioning, CD Player, Central Locking, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Crash Test Star Rating 4, Location: 46 Clyde Street, Hamilton North, NSW, 2292",9.0,,,"Dents or marks on body consistent with age and kilometres.
Paint fading Bonnet
Dents or marks on body consistent with age and kilometres.",referred
2010.0,Subaru,Liberty,2.5i B5 CVT Wagon,Wagon,5.0,2010-03,2020-04,JF1BR9K92AG010573,DH51EJ,NSW,"Sold Unregistered, Without Plates",0.0,4.0,2.5,Petrol,CVT,195652,km,Dark Blue,Black,Yes,No,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10911593/motor-vehicles-motor-cycles/2010-subaru-liberty-2-5i-b5-cvt-wagon,"Engine light ON
Traction control light ON
Other Warning light ON
Seat Torn Drivers
Corrosion visible Top of roof
Paint peeling Bonnet, roof, tailgate, doors,
Medium Scratch on Front bumper","CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Reversing camera, Crash Test Star Rating 5, Location: 46 Clyde Street, Hamilton North, NSW, 2292",0.0,,,"Engine light ON
Traction control light ON
Other Warning light ON
Seat Torn Drivers
Corrosion visible Top of roof
Paint peeling Bonnet, roof, tailgate, doors,
Medium Scratch on Front bumper",referred
2017.0,Mazda,CX-5,Maxx Sport KF Turbo Diesel Automatic Wagon,Wagon,5.0,2017-08,2017-08,JM0KF4W2A00122571,DTW65B,NSW,"Sold Unregistered, Without Plates",0.0,4.0,2.2,Diesel,Automatic,175989,km,Silver,Black,Yes,Yes,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10911598/motor-vehicles-motor-cycles/2017-mazda-cx-5-maxx-sport-kf-turbo-diesel-automatic-wagon,Please refer to the photos or arrange inspection to view the condition of this vehicle.,"Bluetooth Capability, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Reversing Camera, Satellite navigation system, Crash Test Star Rating 5, Location: 46 Clyde Street, Hamilton North, NSW, 2292",0.0,,,Please refer to the photos or arrange inspection to view the condition of this vehicle.,referred
2015.0,Subaru,Liberty,2.5i Premium B6 CVT Sedan,Sedan,5.0,2015-10,2015-11,JF1BN9KC2FG006222,EBJ75N,NSW,"Sold Unregistered, Without Plates",0.0,4.0,2.5,Petrol,CVT,119205,km,Maroon,Black Leather,Yes,Yes,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10911600/motor-vehicles-motor-cycles/2015-subaru-liberty-2-5i-premium-b6-cvt-sedan,Please refer to the photos or arrange inspection to view the condition of this vehicle.,"Bluetooth Capability, CD Player, Central Locking, Climate Control, Cruise Control, Driver Airbag, Electric Windows, Leather Trim, MP3 Capability, Power Steering, Reversing Camera, Sunroof, Crash Test Star Rating 5, Location: 46 Clyde Street, Hamilton North, NSW, 2292",0.0,,,Please refer to the photos or arrange inspection to view the condition of this vehicle.,referred
2008.0,Mercedes,Benz,B200 W245 CVT Hatchback,Hatchback,5.0,2008-03,2008-05,WDD2452332J364742,ECV72B,NSW,"Sold Unregistered, Without Plates",0.0,4.0,2,Petrol,CVT,168476,km,Silver,Cream Leather,Yes,No,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10911601/motor-vehicles-motor-cycles/2008-mercedes-benz-b200-w245-cvt-hatchback,"Suspension requires attention
Airbag light ON
Paint fading Left guard
Medium Dent on Drivers door
Dents or marks on body consistent with age and kilometres.","Air Conditioning, CD Player, Central Locking, Cruise Control, Driver Airbag, Electric Windows, Power Steering, Crash Test Star Rating 5, Location: 46 Clyde Street, Hamilton North, NSW, 2292",0.0,,,"Suspension requires attention
Airbag light ON
Paint fading Left guard
Medium Dent on Drivers door
Dents or marks on body consistent with age and kilometres.",referred
2016.0,Holden,Colorado,4X4 LX RG Turbo Diesel Manual Dual Cab,Dual Cab,5.0,2016-02,2010-03,MMU148DK0GH639511,YDO87R,NSW,"Sold Unregistered, Without Plates",0.0,4.0,2.8,Diesel,Manual,236204,km,Black,Grey,Yes,No,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10911605/motor-vehicles-motor-cycles/2016-holden-colorado-4x4-lx-rg-turbo-diesel-manual-dual-cab,Dents or marks on body consistent with age and kilometres.,"Air Conditioning, Bluetooth Capability, Bull bar, CD Player, Central Locking, Cruise Control, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Crash Test Star Rating 5, Location: 46 Clyde Street, Hamilton North, NSW, 2292",95.0,,,Dents or marks on body consistent with age and kilometres.,referred
2015.0,JEEP,GRAND,CHEROKEE LIMITED WK Turbo Diesel Automatic - 8 Speed Wagon,Wagon,5.0,2015-09,2015-12,1C4RJFFM1FC144973,DBW18Q,NSW,"Sold Unregistered, Without Plates",0.0,6.0,3,Turbo Diesel,Automatic - 8 Speed,140604,km,Maroon,Tan Leather,Yes,No,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10911606/motor-vehicles-motor-cycles/2015-jeep-grand-cherokee-limited-wk-turbo-diesel-automatic-8-speed-wagon,"Dents or marks on body consistent with age and kilometres.
Paint peeling Front grill
Windscreen Chipped or Cracked.","Bluetooth Capability, CD Player, Climate Control, Driver Airbag, Leather Trim, MP3 Capability, Power Steering, Reversing Camera, Satellite Navigation System, Crash Test Star Rating 4, Location: 46 Clyde Street, Hamilton North, NSW, 2292",45.0,,,"Dents or marks on body consistent with age and kilometres.
Paint peeling Front grill
Windscreen Chipped or Cracked.",referred
2013.0,Hyundai,i40,Active VF Automatic Sedan,Sedan,5.0,2013-10,2013-11,KMHLB41DMEU044824,CZ28SX,NSW,"Sold Unregistered, Without Plates",0.0,4.0,2,Petrol,Automatic,239820,km,Silver,Black,Yes,No,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10911608/motor-vehicles-motor-cycles/2013-hyundai-i40-active-vf-automatic-sedan,"Medium Scuff on Rear bumper, left sill
Medium Dent on On boot lid","Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Cruise Control, Driver Airbag, Electric Windows, MP3 Capability, Power Steering, Crash Test Star Rating 5, Location: 46 Clyde Street, Hamilton North, NSW, 2292",0.0,,,"Medium Scuff on Rear bumper, left sill
Medium Dent on On boot lid",referred
2018.0,Nissan,Navara,4X2 RX SERIES 3 Turbo Diesel Manual Cab Chassis,Cab Chassis,2.0,2018-07,2018-07,MNTDB2D23A0002118,YIW06G,NSW,"Sold Unregistered, Without Plates",0.0,4.0,2.3,Diesel,Manual,174026,km,White,Black,Yes,No,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10911610/motor-vehicles-motor-cycles/2018-nissan-navara-4x2-rx-series-3-turbo-diesel-manual-cab-chassis,Please refer to the photos or arrange inspection to view the condition of this vehicle.,"Air Conditioning, Bluetooth Capability, CD Player, Central Locking, Cruise Control, Driver Airbag, Electric Windows, MP3 Capability, Nudge bar, Power Steering, Crash Test Star Rating 5, Location: 46 Clyde Street, Hamilton North, NSW, 2292",0.0,,,Please refer to the photos or arrange inspection to view the condition of this vehicle.,referred
2014.0,Nissan,Navara,ST-R (4x4) D22 Turbo Diesel Manual Dual Cab,Dual Cab,5.0,2014-09,2014-10,MNTCPUD22A0026495,DFH46V,NSW,"Sold Unregistered, Without Plates",0.0,4.0,2.4,Diesel,Manual,162931,km,Dark Blue,Black,Yes,Yes,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10911612/motor-vehicles-motor-cycles/2014-nissan-navara-st-r-4x4-d22-turbo-diesel-manual-dual-cab,"Paint fading On roof
Dents or marks on body consistent with age and kilometres.","Air Conditioning, CD Player, Central Locking, Driver Airbag, Electric Windows, Power Steering, Location: 46 Clyde Street, Hamilton North, NSW, 2292",47.0,,,"Paint fading On roof
Dents or marks on body consistent with age and kilometres.",referred
