canonical_defect,category,vehicle_class,pricing_method,default_estimate,low_estimate,high_estimate,confidence,evidence_source,evidence_date,supplier,vehicle_specific,labour_required,notes
lighting_damage,replacement,small_sedan,parts_plus_labour,105,90,128,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"Passenger-car head/tail-light assembly part range $40-$78 plus remove/refit labour. Bulbs, bumper removal, adaptive-light calibration and wiring faults are excluded. Labour allowance: 1 h at $50/h = $50; labour-time basis: https://openlaborproject.com/labor-times/kia/sportage/2017-2022/2.0l-i4/. Used-part availability, exact fitment and condition must be confirmed."
lighting_damage,replacement,medium_suv,parts_plus_labour,112,95,128,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"4WD/commercial head/tail-light assembly part range $45-$78 plus remove/refit labour. Bulbs, bumper removal, adaptive-light calibration and wiring faults are excluded. Labour allowance: 1 h at $50/h = $50; labour-time basis: https://openlaborproject.com/labor-times/kia/sportage/2017-2022/2.0l-i4/. Used-part availability, exact fitment and condition must be confirmed."
lighting_damage,replacement,ute,parts_plus_labour,112,95,128,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"4WD/commercial head/tail-light assembly part range $45-$78 plus remove/refit labour. Bulbs, bumper removal, adaptive-light calibration and wiring faults are excluded. Labour allowance: 1 h at $50/h = $50; labour-time basis: https://openlaborproject.com/labor-times/kia/sportage/2017-2022/2.0l-i4/. Used-part availability, exact fitment and condition must be confirmed."
lighting_damage,replacement,van,parts_plus_labour,112,95,128,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"4WD/commercial head/tail-light assembly part range $45-$78 plus remove/refit labour. Bulbs, bumper removal, adaptive-light calibration and wiring faults are excluded. Labour allowance: 1 h at $50/h = $50; labour-time basis: https://openlaborproject.com/labor-times/kia/sportage/2017-2022/2.0l-i4/. Used-part availability, exact fitment and condition must be confirmed."
lighting_condensation_damage,replacement,small_hatch,parts_plus_labour,105,90,128,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"Passenger-car head/tail-light assembly part range $40-$78 plus remove/refit labour. Bulbs, bumper removal, adaptive-light calibration and wiring faults are excluded. Labour allowance: 1 h at $50/h = $50; labour-time basis: https://openlaborproject.com/labor-times/kia/sportage/2017-2022/2.0l-i4/. Used-part availability, exact fitment and condition must be confirmed."
lighting_condensation_damage,replacement,small_sedan,parts_plus_labour,105,90,128,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"Passenger-car head/tail-light assembly part range $40-$78 plus remove/refit labour. Bulbs, bumper removal, adaptive-light calibration and wiring faults are excluded. Labour allowance: 1 h at $50/h = $50; labour-time basis: https://openlaborproject.com/labor-times/kia/sportage/2017-2022/2.0l-i4/. Used-part availability, exact fitment and condition must be confirmed."
lighting_condensation_damage,replacement,medium_suv,parts_plus_labour,112,95,128,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"4WD/commercial head/tail-light assembly part range $45-$78 plus remove/refit labour. Bulbs, bumper removal, adaptive-light calibration and wiring faults are excluded. Labour allowance: 1 h at $50/h = $50; labour-time basis: https://openlaborproject.com/labor-times/kia/sportage/2017-2022/2.0l-i4/. Used-part availability, exact fitment and condition must be confirmed."
lighting_condensation_damage,replacement,ute,parts_plus_labour,112,95,128,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"4WD/commercial head/tail-light assembly part range $45-$78 plus remove/refit labour. Bulbs, bumper removal, adaptive-light calibration and wiring faults are excluded. Labour allowance: 1 h at $50/h = $50; labour-time basis: https://openlaborproject.com/labor-times/kia/sportage/2017-2022/2.0l-i4/. Used-part availability, exact fitment and condition must be confirmed."
lighting_condensation_damage,replacement,van,parts_plus_labour,112,95,128,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"4WD/commercial head/tail-light assembly part range $45-$78 plus remove/refit labour. Bulbs, bumper removal, adaptive-light calibration and wiring faults are excluded. Labour allowance: 1 h at $50/h = $50; labour-time basis: https://openlaborproject.com/labor-times/kia/sportage/2017-2022/2.0l-i4/. Used-part availability, exact fitment and condition must be confirmed."
door_handle_damage,replacement,generic,parts_plus_labour,75,70,80,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"Inner/outer door-handle part range $20-$30 plus remove/refit labour. Labour allowance: 1 h at $50/h = $50; labour-time basis: https://www.dongfeng-global.com/Upload/File/201907/5d2ee002073e5.pdf. Used-part availability, exact fitment and condition must be confirmed."
fuel_flap_damage,replacement,generic,parts_plus_labour,57,48,68,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"Fuel-flap panel, cable or release part range $10-$30 plus remove/refit labour. This does not cover filler-neck or central-locking diagnosis. Labour allowance: 0.75 h at $50/h = $38; labour-time basis: planning allowance. Used-part availability, exact fitment and condition must be confirmed."
grille_damage,replacement,generic,parts_plus_labour,70,55,85,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"Small/large grille part range $30-$60 plus remove/refit labour. Surrounds, cameras and sensors are excluded. Labour allowance: 0.5 h at $50/h = $25; labour-time basis: https://www.dongfeng-global.com/Upload/File/201907/5d2ee002073e5.pdf. Used-part availability, exact fitment and condition must be confirmed."
aerial_damage,replacement,generic,parts_plus_labour,67,60,74,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"Manual/electric aerial part range $10-$24 plus remove/refit labour. Amplifier and wiring diagnosis are excluded. Labour allowance: 1 h at $50/h = $50; labour-time basis: planning allowance. Used-part availability, exact fitment and condition must be confirmed."
bonnet_latch_damage,replacement,generic,parts_plus_labour,44,35,55,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"Bonnet catch/cable part range $10-$30 plus remove/refit labour. Extra access time for a bonnet stuck shut is excluded. Labour allowance: 0.5 h at $50/h = $25; labour-time basis: https://astonmartin.blob.core.windows.net/dcs-public/RTS/Rapide/0114BD.html. Used-part availability, exact fitment and condition must be confirmed."
tailgate_latch_damage,replacement,generic,parts_plus_labour,49,35,61,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"Tailgate latch/inner/outer handle part range $10-$36 plus remove/refit labour. Actuator and wiring diagnosis are excluded. Labour allowance: 0.5 h at $50/h = $25; labour-time basis: https://fr.ifixit.com/Document/j1gxKGrDmYdhxY6q/Lotus-Evora-Labour-Time-Schedule.pdf. Used-part availability, exact fitment and condition must be confirmed."
tailgate_latch_or_tailgate_repair,replacement,generic,parts_plus_labour,49,35,61,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"Latch/handle scenario only: part range $10-$36 plus remove/refit labour. Panel, actuator and wiring repairs are excluded. Labour allowance: 0.5 h at $50/h = $25; labour-time basis: https://fr.ifixit.com/Document/j1gxKGrDmYdhxY6q/Lotus-Evora-Labour-Time-Schedule.pdf. Used-part availability, exact fitment and condition must be confirmed."
sun_visor_damage,interior,generic,parts_plus_labour,30,28,31,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"Sun-visor part range $15-$18 plus remove/refit labour. Labour allowance: 0.25 h at $50/h = $13; labour-time basis: planning allowance. Used-part availability, exact fitment and condition must be confirmed."
door_latch_damage,replacement,generic,parts_plus_labour,63,60,68,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"Door lock/latch/catch part range $10-$18 plus remove/refit labour. Door alignment, hinges and electrical diagnosis are excluded. Labour allowance: 1 h at $50/h = $50; labour-time basis: https://www.dongfeng-global.com/Upload/File/201907/5d2ee002073e5.pdf. Used-part availability, exact fitment and condition must be confirmed."
carpet_torn,interior,generic,parts_plus_labour,488,480,496,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"Full used carpet part range $80-$96 plus a full-day remove/refit allowance. Cleaning, underlay and broken trim clips are excluded. Labour allowance: 8 h at $50/h = $400; labour-time basis: planning allowance. Used-part availability, exact fitment and condition must be confirmed."
headlining_damage,interior,generic,parts_plus_labour,481,460,496,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"Sedan/wagon/ute roof-lining part range $60-$96 plus a full-day remove/refit allowance. Material recovery and broken trim clips are excluded. Labour allowance: 8 h at $50/h = $400; labour-time basis: planning allowance. Used-part availability, exact fitment and condition must be confirmed."
centre_console_damage,interior,generic,parts_plus_labour,100,75,128,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"Console lid/complete-console part range $25-$78 plus remove/refit labour. Switches, wiring and sticky-coating remediation are excluded. Labour allowance: 1 h at $50/h = $50; labour-time basis: planning allowance. Used-part availability, exact fitment and condition must be confirmed."
interior_compartment_latch_damage,interior,generic,parts_plus_labour,36,35,37,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"Glove-box/compartment catch or latch part range $10-$12 plus remove/refit labour. Labour allowance: 0.5 h at $50/h = $25; labour-time basis: planning allowance. Used-part availability, exact fitment and condition must be confirmed."
rear_light_reflector_damage,replacement,generic,parts_plus_labour,32,18,49,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"Loose reflector or bumper-bar reflector part range $5-$36 plus remove/refit labour. Tail-light assembly replacement is excluded. Labour allowance: 0.25 h at $50/h = $13; labour-time basis: planning allowance. Used-part availability, exact fitment and condition must be confirmed."
tail_light_condensation,replacement,generic,parts_plus_labour,109,90,128,low,Harvey Wreckers official parts price list https://www.harveywreckers.com.au/auto-parts-price-list/,2026-09-09,Harvey Wreckers + labour allowance,yes,yes,"Tail/head-light assembly replacement contingency using a $40-$78 part range plus remove/refit labour. Resealing may cost less; adaptive-light calibration and wiring faults are excluded. Labour allowance: 1 h at $50/h = $50; labour-time basis: https://openlaborproject.com/labor-times/kia/sportage/2017-2022/2.0l-i4/. Used-part availability, exact fitment and condition must be confirmed."
cosmetic_surface_damage,cosmetic,medium_suv,repair_quote,700,700,700,high,Gmail quote reply thread 1a06d130229670f8 / message 1a089693690948ac,2026-09-10,Expert Body Repairs,yes,yes,"Direct supplier quote for front bumper cosmetic repair on 2019 Mercedes-Benz GLS400d: deep scuffing and scratches to driver-side corner; $700 supplied as quoted price. Original request asked to include preparation, paint, labour and GST."
